Negative Score,Neutral Score,News Org,Positive Score,Sentiment Score,Tweet,Tweet Date,Tweet Number
0.0,1.0,@BBCNews,0.0,0.0,Kanye West defends pro-Trump politics in new song https://t.co/9zARYkuQJz,Sat Apr 28 11:15:29 +0000 2018,28
0.0,0.816,@BBCNews,0.184,0.2023,Azerbaijan GP: Sebastian Vettel top in final practice https://t.co/8rsWsFGUOV,Sat Apr 28 11:12:28 +0000 2018,29
0.415,0.44,@BBCNews,0.145,-0.6486,Myanmar violence: Thousands flee fresh fighting in Kachin state https://t.co/wDMO1E5xl8,Sat Apr 28 10:55:54 +0000 2018,30
0.18,0.82,@BBCNews,0.0,-0.296,Missing London rapper Kenny Mukendi 'threw himself into Brazil sea' https://t.co/Q76NtDuQsc,Sat Apr 28 10:19:55 +0000 2018,31
0.0,1.0,@BBCNews,0.0,0.0,Why did Sinn Fein leader use the 'L-word'? https://t.co/ccah0LZHlD,Sat Apr 28 10:09:32 +0000 2018,32
0.0,1.0,@BBCNews,0.0,0.0,Bangladesh's disappearing ear cleaners https://t.co/oJtQ5lWgys,Sat Apr 28 10:03:22 +0000 2018,33
0.0,1.0,@BBCNews,0.0,0.0,Why did Sinn Fein leader use the 'L-word'? https://t.co/KW5uZkoGsG,Sat Apr 28 09:59:05 +0000 2018,34
0.216,0.784,@BBCNews,0.0,-0.296,Health warnings after toxic caterpillar outbreak in London https://t.co/a4asceABTs,Sat Apr 28 09:17:47 +0000 2018,35
0.195,0.805,@BBCNews,0.0,-0.1779,Amber Rudd 'made a mistake but didn't mislead' https://t.co/xMFQF58sIk,Sat Apr 28 09:08:42 +0000 2018,36
0.0,1.0,@BBCNews,0.0,0.0,"ICYMI: Babies, bots and blackouts https://t.co/L852UTRR9C",Sat Apr 28 08:58:10 +0000 2018,37
0.237,0.763,@BBCNews,0.0,-0.4767,Étienne Terrus museum in Elne uncovers fake art in collection https://t.co/YKdnZStFLC,Sat Apr 28 08:52:24 +0000 2018,38
0.0,0.854,@BBCNews,0.146,0.5574,RT @bbcnickrobinson: Rudd defended by @michaelgove on @BBCr4today for being gracious in her apologies for not knowing what’s going on in he…,Sat Apr 28 07:44:27 +0000 2018,39
0.091,0.909,@BBCNews,0.0,-0.1779,RT @bbcnickrobinson: “No-one in the Windrush generation will take the government seriously until Amber Rudd resigns” @HackneyAbbott tells…,Sat Apr 28 07:44:21 +0000 2018,40
0.097,0.903,@BBCNews,0.0,-0.3089,"RT @MishalHusainBBC: Diane Abbott: this is not party politics, this is about my parents' generation and I would speak up for them whatever…",Sat Apr 28 07:44:09 +0000 2018,41
0.143,0.757,@BBCNews,0.1,-0.2732,RT @MishalHusainBBC: Gove keen to emphasise difference between Windrush cases and targets on removal of illegal immigrants and to portray q…,Sat Apr 28 07:44:04 +0000 2018,42
0.148,0.852,@BBCNews,0.0,-0.5106,RT @MishalHusainBBC: Michael Gove: regrettable when documents are not placed before a Home Secretary or into a minister's red box. This doc…,Sat Apr 28 07:43:58 +0000 2018,43
0.286,0.549,@BBCNews,0.165,-0.2732,Legal battle toddler Alfie Evans dies https://t.co/GyKmJ5uPJb,Sat Apr 28 06:08:56 +0000 2018,44
0.21,0.637,@BBCNews,0.153,-0.2263,Diego Maradona leaves Al Fujairah after failing to secure automatic promotion https://t.co/xbhWvSRhzU,Sat Apr 28 05:49:20 +0000 2018,45
0.0,0.72,@BBCNews,0.28,0.5423,Koreas summit: Will historic talks lead to lasting peace? https://t.co/lYcX9w5pZk,Sat Apr 28 05:07:11 +0000 2018,46
0.0,0.86,@BBCNews,0.14,0.0772,Koreas summit: North Korean media hail 'historic' meeting https://t.co/S471fJkFaj,Sat Apr 28 04:40:22 +0000 2018,47
0.248,0.752,@BBCNews,0.0,-0.5106,Nearly 100 US people sick in lettuce-linked E. coli outbreak https://t.co/TnTbKE0EAJ,Sat Apr 28 04:18:10 +0000 2018,48
0.0,1.0,@BBCNews,0.0,0.0,"Voter ID plans 'deeply flawed', says Electoral Reform Society https://t.co/Cof81HO0Pi",Sat Apr 28 02:44:11 +0000 2018,49
0.0,0.841,@BBCNews,0.159,0.1779,Follow these two into the world of competitive debating https://t.co/AbqMxNwAWJ,Sat Apr 28 01:30:48 +0000 2018,50
0.0,1.0,@BBCNews,0.0,0.0,Week in pictures: 21-27 April 2018 https://t.co/rkMrKaTGfg,Sat Apr 28 01:01:46 +0000 2018,51
0.0,0.672,@BBCNews,0.328,0.5267,Challenging parole could get easier for members of the public https://t.co/kL2RnqNgS3,Sat Apr 28 00:49:23 +0000 2018,52
0.419,0.581,@BBCNews,0.0,-0.7579,Golden State Killer suspect: Joseph James DeAngelo appears in court https://t.co/xb17iAkvz2,Sat Apr 28 00:44:11 +0000 2018,53
0.0,1.0,@BBCNews,0.0,0.0,Michael Cohen: Stormy Daniels case against Trump's lawyer put on hold https://t.co/GIaKkXqpao,Sat Apr 28 00:20:55 +0000 2018,54
0.285,0.715,@BBCNews,0.0,-0.6113,TSB: How it all went so wrong for the bank https://t.co/HyKoaUTiZG,Sat Apr 28 00:12:12 +0000 2018,55
0.0,1.0,@BBCNews,0.0,0.0,The Papers: Rudd 'on the brink' and Korean 'history' https://t.co/cycRgLdZ8C,Fri Apr 27 23:42:05 +0000 2018,56
0.0,1.0,@BBCNews,0.0,0.0,BBC Women's Footballer of the Year 2018: The nominees https://t.co/IRpykxpoG9,Fri Apr 27 23:07:26 +0000 2018,57
0.205,0.795,@BBCNews,0.0,-0.5574,Dan Evans set to return at end of drugs ban for taking 'life-ruiner' cocaine https://t.co/zrWWCUKAfV,Fri Apr 27 21:40:13 +0000 2018,58
0.0,1.0,@BBCNews,0.0,0.0,Premiership: Leicester Tigers 23-25 Newcastle Falcons https://t.co/Aq4GJ62MVY,Fri Apr 27 21:11:15 +0000 2018,59
0.0,0.803,@BBCNews,0.197,0.4019,Andres Iniesta: Barcelona legend 'more than just a player' to his admirers https://t.co/jRryz6gNOT,Fri Apr 27 20:59:42 +0000 2018,60
0.0,1.0,@BBCNews,0.0,0.0,Aberdeen 2-0 Heart of Midlothian https://t.co/gMnq49MURT,Fri Apr 27 20:56:36 +0000 2018,61
0.0,0.678,@BBCNews,0.322,0.5859,Katie Walsh: Jockey announces retirement after Punchestown win https://t.co/ydo4VoQZHj,Fri Apr 27 19:49:53 +0000 2018,62
0.0,0.769,@BBCNews,0.231,0.2732,How previous presidents were greeted in UK https://t.co/QI0e2YpJnV,Fri Apr 27 18:32:44 +0000 2018,63
0.0,1.0,@BBCNews,0.0,0.0,Peru child sacrifice discovery may be largest in history https://t.co/XljkQp3JkA,Fri Apr 27 18:29:42 +0000 2018,64
0.302,0.698,@BBCNews,0.0,-0.5994,Daughter left mum to die covered in own faeces https://t.co/Mk2OOlmzn3,Fri Apr 27 18:23:42 +0000 2018,65
0.0,1.0,@BBCNews,0.0,0.0,Aston mosque hit-and-run injures two https://t.co/jTkMDEcAzn,Fri Apr 27 17:27:38 +0000 2018,66
0.0,0.789,@BBCNews,0.211,0.4939,Simon Thomas leaves Sky Sports job to focus on caring for son https://t.co/R1QBRKoDps,Fri Apr 27 17:10:20 +0000 2018,67
0.0,1.0,@BBCNews,0.0,0.0,World Cup 2018: Why England must take Joe Hart to Russia https://t.co/T3rUQDvTuB,Fri Apr 27 17:04:39 +0000 2018,68
0.0,1.0,@BBCNews,0.0,0.0,How many ABBA references can you squeeze into a minute? https://t.co/Um4r5NVaNH,Fri Apr 27 16:58:57 +0000 2018,69
0.293,0.707,@BBCNews,0.0,-0.4404,Sentinel tracks ships' dirty emissions from orbit https://t.co/t29bqWz5pj,Fri Apr 27 16:52:45 +0000 2018,70
0.0,0.816,@BBCNews,0.184,0.2023,Daily Express paper apologises for Liverpool FC 'slur' https://t.co/XcmskOk2Dn,Fri Apr 27 16:20:35 +0000 2018,71
0.0,0.748,@BBCNews,0.252,0.4019,'I used YouTube to help deliver my baby' https://t.co/JiwCidiePR,Fri Apr 27 15:27:37 +0000 2018,72
0.0,1.0,@BBCNews,0.0,0.0,Harry Kane: Mauricio Pochettino says FA Cup tweet 'embarrassing' https://t.co/mlVTNHXAU8,Fri Apr 27 15:20:52 +0000 2018,73
0.223,0.777,@BBCNews,0.0,-0.3182,Leaked memo 'suggests Rudd was told of targets' https://t.co/HEnf4llFmf,Fri Apr 27 15:10:55 +0000 2018,74
0.314,0.686,@BBCNews,0.0,-0.4939,Man jailed for Coventry boys' hit-and-run deaths https://t.co/SGgj5bCKjz,Fri Apr 27 15:07:33 +0000 2018,75
0.293,0.488,@BBCNews,0.22,-0.2263,EU member states support near-total neonicotinoids ban https://t.co/HyktjIma11,Fri Apr 27 14:46:15 +0000 2018,76
0.228,0.594,@BBCNews,0.178,-0.128,Ricciardo top as Ferrari &amp; Mercedes struggle https://t.co/GK7qjDBTpR,Fri Apr 27 14:40:35 +0000 2018,77
0.423,0.577,@BBCNews,0.0,-0.765,DJ guilty of contempt of court after NHS compensation bid https://t.co/owFq4Y81a6,Fri Apr 27 14:37:32 +0000 2018,78
0.0,0.776,@BBCNews,0.224,0.3818,Watch Riley McGree score stunning scorpion goal in Australia https://t.co/4CYIVDEsYy,Fri Apr 27 14:28:14 +0000 2018,79
0.0,1.0,@BBCNews,0.0,0.0,Perth pensioner offers housebreaker a lift https://t.co/pLBg8yvg54,Fri Apr 27 14:16:18 +0000 2018,80
0.281,0.719,@BBCNews,0.0,-0.5994,Scots teenager falls to her death from Majorca apartment balcony https://t.co/40aSYeUBGv,Fri Apr 27 13:38:49 +0000 2018,81
0.391,0.609,@BBCNews,0.0,-0.6705,China stabbings: Seven students killed in Shaanxi https://t.co/3WcbXxxioA,Fri Apr 27 13:26:58 +0000 2018,82
0.224,0.776,@BBCNews,0.0,-0.3818,200-year-old Battle of Trafalgar ship's biscuit to be auctioned https://t.co/d6hoUQ5p22,Fri Apr 27 12:44:24 +0000 2018,83
0.0,0.805,@BBCNews,0.195,0.4404,World Snooker Championship 2018: Ali Carter leads Ronnie O'Sullivan in second round https://t.co/dJTTPHMftH,Fri Apr 27 12:38:39 +0000 2018,84
0.402,0.598,@BBCNews,0.0,-0.6908,Viewpoint: Spain rape case highlights enduring machismo https://t.co/i70GBZCNg9,Fri Apr 27 12:32:55 +0000 2018,85
0.0,0.714,@BBCNews,0.286,0.34,How police line-ups jail the innocent https://t.co/ZFD7QApzka,Fri Apr 27 12:24:13 +0000 2018,86
0.338,0.662,@BBCNews,0.0,-0.6249,Labour activist expelled after verbal attack on MP at anti-Semitism event https://t.co/7Ob05lABNa,Fri Apr 27 12:10:10 +0000 2018,87
0.118,0.882,@BBCNews,0.0,-0.0516,Andres Iniesta to leave Barcelona at end of season https://t.co/G761NHGf3c,Fri Apr 27 12:04:36 +0000 2018,88
0.0,1.0,@BBCNews,0.0,0.0,ABBA announce first new music since 1982 https://t.co/H1YYzYZ6vR,Fri Apr 27 11:51:15 +0000 2018,89
0.0,1.0,@BBCNews,0.0,0.0,US singer speaks about concert miscarriage https://t.co/dkwGm1SqRm,Fri Apr 27 11:45:33 +0000 2018,90
0.0,0.88,@BBCNews,0.12,0.128,Testosterone rules: I have offered Caster Semenya my legal team - Dutee Chand https://t.co/OEPnBWdd7k,Fri Apr 27 11:06:08 +0000 2018,91
0.0,1.0,@BBCNews,0.0,0.0,Azerbaijan GP: Max Verstappen crashes as Valtteri Bottas fastest https://t.co/ADwnlmGzcN,Fri Apr 27 10:42:43 +0000 2018,92
0.328,0.672,@BBCNews,0.0,-0.5994,"MasterChef marathon death: Matt Campbell appeal passes £200,000 https://t.co/lFBahgsGJI",Fri Apr 27 10:25:57 +0000 2018,93
0.0,1.0,@BBCNews,0.0,0.0,How to handle the flood of GDPR privacy updates https://t.co/CtfH3u996F,Fri Apr 27 10:23:05 +0000 2018,94
0.0,1.0,@BBCNews,0.0,0.0,Royal baby named Prince Louis https://t.co/tL40hIU4GZ,Fri Apr 27 10:06:35 +0000 2018,95
0.0,1.0,@BBCNews,0.0,0.0,Coroner ordered to change 'cab-rank' burial release policy https://t.co/GvpxKShjIC,Fri Apr 27 09:54:37 +0000 2018,96
0.0,0.792,@BBCNews,0.208,0.2732,Five times Kanye West took us by surprise https://t.co/AfuAXbQtHY,Fri Apr 27 09:51:35 +0000 2018,97
0.0,1.0,@BBCNews,0.0,0.0,Steven Gerrard frontrunner for Rangers manager's job https://t.co/Xw3RNBA1qJ,Fri Apr 27 09:46:04 +0000 2018,98
0.301,0.699,@BBCNews,0.0,-0.6486,Theft probe GP found dead with girlfriend in Cape Verde https://t.co/ig6VQTojY8,Fri Apr 27 09:26:15 +0000 2018,99
0.0,1.0,@BBCNews,0.0,0.0,Koreas make nuclear pledge after summit https://t.co/63FPpzf0wz,Fri Apr 27 09:23:32 +0000 2018,100
0.17,0.83,@CBSNews,0.0,-0.6249,"With not enough sex and not enough babies, Japan’s in the midst of a population crisis. Could robots be the answer?… https://t.co/nZ4qaXH9ak",Sat Apr 28 22:20:23 +0000 2018,1
0.0,1.0,@CBSNews,0.0,0.0,"While hundreds of journalists, lobbyists and White House staffers attend the #WHCD in Washington, D.C., President T… https://t.co/NmPC125h4V",Sat Apr 28 22:10:01 +0000 2018,2
0.212,0.788,@CBSNews,0.0,-0.6486,"Investigators hunting down the so-called ""Golden State Killer"" used information from genetic websites last year tha… https://t.co/9ycox810Gy",Sat Apr 28 22:00:02 +0000 2018,3
0.0,1.0,@CBSNews,0.0,0.0,"She was a mom, a wife to Patton Oswalt and a citizen sleuth. 

She was hunting a serial killer.… https://t.co/Hy3zVgUww3",Sat Apr 28 21:40:17 +0000 2018,4
0.146,0.854,@CBSNews,0.0,-0.2235,U.S. won't restore grizzly bear protections near Yellowstone National Park https://t.co/IiLMYFG4PI https://t.co/bKiwnAFKVs,Sat Apr 28 21:20:01 +0000 2018,5
0.264,0.613,@CBSNews,0.123,-0.5719,"Hundreds gathered Saturday in a Liverpool park to honor Alfie Evans, the sick British toddler who died after a long… https://t.co/bGdsLaGUW3",Sat Apr 28 21:00:29 +0000 2018,6
0.098,0.902,@CBSNews,0.0,-0.0516,"Social media addiction: Teens leave rehab with a sense of ""power"" https://t.co/LaUYpbkuAA https://t.co/qyz2vlJOFy",Sat Apr 28 20:40:01 +0000 2018,7
0.0,1.0,@CBSNews,0.0,0.0,"In West Virginia, an ex-convict candidate released from jail less than a year ago is compounding the GOP's problems… https://t.co/RPmbMuUgF1",Sat Apr 28 20:20:01 +0000 2018,8
0.258,0.742,@CBSNews,0.0,-0.765,WATCH LIVE: Police give an update after a Maine manhunt comes to an end after a man accused of killing a police off… https://t.co/FWrlwhQ9rq,Sat Apr 28 20:06:10 +0000 2018,9
0.0,1.0,@CBSNews,0.0,0.0,"A Massachusetts school district paid a $10,000 bitcoin ransom to hackers following a cyberattack on its system:… https://t.co/6kgEkFbkUY",Sat Apr 28 20:00:02 +0000 2018,10
0.0,0.824,@CBSNews,0.176,0.4939,"Shaquem Griffin,the UCF linebacker with one hand, has been drafted by the Seattle Seahawks https://t.co/mF9qAngwfU https://t.co/VJ0J7z4QBi",Sat Apr 28 19:20:03 +0000 2018,11
0.109,0.891,@CBSNews,0.0,-0.296,"The Philippines is latest foreign customer to book President Trump's D.C. hotel, riling critics who say such bookin… https://t.co/uR1MAPQx1f",Sat Apr 28 19:00:02 +0000 2018,12
0.0,0.745,@CBSNews,0.255,0.4767,"Defense Secretary James Mattis reaffirms ""ironclad U.S. commitment"" to defending South Korea https://t.co/gQaxN1Fvhd https://t.co/ZANsRw1VhO",Sat Apr 28 18:40:02 +0000 2018,13
0.0,1.0,@CBSNews,0.0,0.0,"WATCH: A whale was spotted swimming near the surface in the waters off Alameda, California, on Friday. According to… https://t.co/Z1igHSVnmN",Sat Apr 28 18:21:25 +0000 2018,14
0.0,0.852,@CBSNews,0.148,0.3818,"Comedian @michelleisawolf says it's ""cowardly"" for President Trump to skip tonight's White House Correspondents' di… https://t.co/71iFO2i2J7",Sat Apr 28 18:00:02 +0000 2018,15
0.09,0.674,@CBSNews,0.236,0.5994,"MSNBC's Joy Reid, under fire for homophobic language in old blog posts, apologizes and says she hasn't been able to… https://t.co/cJ10dk42Nq",Sat Apr 28 17:40:01 +0000 2018,16
0.355,0.645,@CBSNews,0.0,-0.765,"John Williams, accused of killing police officer in Maine, has been captured https://t.co/xmvipuCNY0 https://t.co/VJBD4rG8DU",Sat Apr 28 17:19:51 +0000 2018,17
0.0,1.0,@CBSNews,0.0,0.0,"A  student loan services company recently notified 16,500 borrowers that files containing personal data were releas… https://t.co/SDrhy2YP6H",Sat Apr 28 17:00:03 +0000 2018,18
0.113,0.887,@CBSNews,0.0,-0.3182,The Environmental Protection Agency's watchdog confirmed it is aware of -- and looking into -- accusations about EP… https://t.co/uP84J9IukT,Sat Apr 28 16:40:02 +0000 2018,19
0.0,1.0,@CBSNews,0.0,0.0,"Secretary of state Mike Pompeo arrived in Riyadh, Saudi Arabia, on Saturday -- two days after being confirmed. He's… https://t.co/8UDOJfEk8P",Sat Apr 28 16:27:41 +0000 2018,20
0.118,0.882,@CBSNews,0.0,-0.34,President Trump calls on Montana's Sen. Jon Tester to resign over his role in surfacing unproven misconduct allegat… https://t.co/CffpDi4zi5,Sat Apr 28 16:20:03 +0000 2018,21
0.099,0.901,@CBSNews,0.0,-0.296,Is a flesh body a requirement to be human? One Japanese scientist says no. And now he’s building a new breed of hum… https://t.co/KjqEiA274s,Sat Apr 28 16:00:03 +0000 2018,22
0.0,1.0,@CBSNews,0.0,0.0,"Backlash mounts after ""Yellow Fever"" restaurant opens inside Whole Foods 365
https://t.co/HfXwgucb3s https://t.co/xpqsCYlX2C",Sat Apr 28 15:40:02 +0000 2018,23
0.0,1.0,@CBSNews,0.0,0.0,There have been a record 28 April MLB postponements from rain and snow so far: https://t.co/lZhHlfnsgy https://t.co/KODnHKp2RW,Sat Apr 28 15:20:01 +0000 2018,24
0.138,0.862,@CBSNews,0.0,-0.34,A building in Azerbaijan that once was intended to be a Trump-branded hotel has caught fire https://t.co/K5DKw9pXDd https://t.co/sO0NX5xdRf,Sat Apr 28 15:00:04 +0000 2018,25
0.292,0.708,@CBSNews,0.0,-0.7906,Death toll rises to 9 in a stabbing attack outside a middle school in northwestern China allegedly carried out by a… https://t.co/6EiqZrHsG5,Sat Apr 28 14:40:01 +0000 2018,26
0.0,0.847,@CBSNews,0.153,0.4404,Rachel Maddow and Maria Shriver are among dozens of women who signed a letter supporting Tom Brokaw… https://t.co/LxAQoWRwAv,Sat Apr 28 14:20:01 +0000 2018,27
0.0,1.0,@CBSNews,0.0,0.0,Mongolia and Singapore are the final two sites under consideration for the upcoming summit between President Trump… https://t.co/HRxwIC6w0w,Sat Apr 28 14:00:03 +0000 2018,28
0.145,0.692,@CBSNews,0.164,0.0772,"President Trump says he has a responsibility to resolve the Korean conflict
https://t.co/mQU1yV0PXR https://t.co/OEaI3GzrEp",Sat Apr 28 13:40:01 +0000 2018,29
0.0,1.0,@CBSNews,0.0,0.0,"Teachers and Arizona Gov. Doug Ducey are at odds as deal announced
https://t.co/1B4Va9rOGR https://t.co/AEHKUxcg4l",Sat Apr 28 13:20:01 +0000 2018,30
0.0,0.677,@CBSNews,0.323,0.5106,Judge dismisses Paul Manafort's civil suit challenging special counsel https://t.co/skpVAfiDoB https://t.co/rZMF78mP6b,Sat Apr 28 13:03:04 +0000 2018,31
0.0,1.0,@CBSNews,0.0,0.0,ABBA announces first new material in 35 years https://t.co/ErJ9AMOXpB https://t.co/zrOwK7oCmz,Sat Apr 28 12:48:04 +0000 2018,32
0.165,0.647,@CBSNews,0.187,0.0772,Trump says he has responsibility to resolve Korean conflict https://t.co/Lw6POHEFZA https://t.co/1svWmL5gUy,Sat Apr 28 12:45:08 +0000 2018,33
0.135,0.675,@CBSNews,0.19,0.2263,"House Intelligence Committee Republicans find ""no evidence"" of Trump campaign collusion https://t.co/B5AcRIZVJz https://t.co/E2HYnztYR0",Sat Apr 28 12:33:04 +0000 2018,34
0.0,1.0,@CBSNews,0.0,0.0,Royal baby name announced: Prince Louis Arthur Charles https://t.co/EnNquEoImn https://t.co/mpXjkdnGYV,Sat Apr 28 12:18:03 +0000 2018,35
0.0,1.0,@CBSNews,0.0,0.0,Kenya bans Cannes-bound film over “lesbianism” https://t.co/WE929Mk0Vp https://t.co/bUMWwnYc6k,Sat Apr 28 12:03:04 +0000 2018,36
0.0,1.0,@CBSNews,0.0,0.0,RT @CBSThisMorning: The nationwide E. coli contamination linked to romaine lettuce has spread to three more states. Health officials report…,Sat Apr 28 11:57:30 +0000 2018,37
0.31,0.69,@CBSNews,0.0,-0.6705,Ex-radical who killed 2 NYC officers set to be paroled https://t.co/twLrpwYMfY https://t.co/I5gHw7r1HH,Sat Apr 28 11:48:04 +0000 2018,38
0.339,0.575,@CBSNews,0.086,-0.6597,"Alfie Evans, sick British toddler at center of legal battle, dies https://t.co/QGSUT8RLgQ https://t.co/qpZhvw1b3z",Sat Apr 28 11:40:06 +0000 2018,39
0.0,1.0,@CBSNews,0.0,0.0,Your insurance company knows more about you than Facebook https://t.co/yiC3e6rYsg https://t.co/0pinDHmxsq,Sat Apr 28 11:33:04 +0000 2018,40
0.0,0.82,@CBSNews,0.18,0.5093,RT @CBSThisMorning: Welcome to the weekend! We’re live in the East with @AnthonyMasonCBS and @CBSMMiller. https://t.co/qvoDK3GIDa,Sat Apr 28 11:18:52 +0000 2018,41
0.0,1.0,@CBSNews,0.0,0.0,Wynn Resorts' newest casino won't carry Wynn name https://t.co/JPTm2mqrqI https://t.co/P69SKjqBBh,Sat Apr 28 11:18:04 +0000 2018,42
0.0,1.0,@CBSNews,0.0,0.0,"""I don't think he's playing,"" Pres. Trump says of Kim Jong Un https://t.co/oPmOpSoX8q https://t.co/m1g2IVRTEs",Sat Apr 28 11:03:03 +0000 2018,43
0.0,1.0,@CBSNews,0.0,0.0,"""The Simpsons"" to become longest-running primetime scripted series on TV https://t.co/ViSDT6bUEx https://t.co/Fj9VCAbVPM",Sat Apr 28 10:48:04 +0000 2018,44
0.204,0.796,@CBSNews,0.0,-0.3182,"GOP congressman who called aide ""soulmate"" abruptly resigns https://t.co/SCaVyJ1tnx https://t.co/Xojd0GhpWP",Sat Apr 28 10:33:04 +0000 2018,45
0.0,1.0,@CBSNews,0.0,0.0,"""A new kind of human"": Robots step into everyday life in Japan https://t.co/CDbLYd31NJ https://t.co/Zn5lcQTGN9",Sat Apr 28 10:18:05 +0000 2018,46
0.0,1.0,@CBSNews,0.0,0.0,E. coli outbreak tied to romaine lettuce is largest since 2006 https://t.co/Y6SZg3jzxG https://t.co/JzFhYhk3If,Sat Apr 28 10:03:04 +0000 2018,47
0.0,1.0,@CBSNews,0.0,0.0,"Judge orders Bill Cosby to remain in Philadelphia home, be fitted with GPS monitor https://t.co/sq5MVvyUiA https://t.co/TVGECCdTsD",Sat Apr 28 09:48:04 +0000 2018,48
